epoch,accuracy,loss,val_accuracy,val_loss
0,0.7408093810081482,0.7924458384513855,0.8268518447875977,0.5108175873756409
1,0.8594377636909485,0.3721817135810852,0.8601852059364319,0.43216705322265625
2,0.9033055305480957,0.27368906140327454,0.8685185313224792,0.4530654549598694
3,0.9144269227981567,0.2306884378194809,0.8712962865829468,0.4256477653980255
4,0.9267840385437012,0.20640207827091217,0.8675925731658936,0.4786003530025482
5,0.940376877784729,0.1600383073091507,0.8842592835426331,0.45538070797920227
6,0.9413036704063416,0.16394029557704926,0.8870370388031006,0.43658873438835144
7,0.9545875787734985,0.13836492598056793,0.8935185074806213,0.4746011197566986
8,0.9548965096473694,0.12895064055919647,0.8879629373550415,0.5050350427627563
9,0.9610750675201416,0.10139750689268112,0.8740741014480591,0.5763852000236511
10,0.9654000401496887,0.0910310298204422,0.8824074268341064,0.5101039409637451
11,0.9715785980224609,0.0860539898276329,0.875,0.5596778988838196
12,0.960148274898529,0.11622793227434158,0.8805555701255798,0.5458685159683228
13,0.973432183265686,0.07683354616165161,0.875,0.5807873606681824
14,0.9793018102645874,0.05912121757864952,0.8925926089286804,0.561874508857727
15,0.9851714372634888,0.04668433964252472,0.8916666507720947,0.6158175468444824
16,0.9786839485168457,0.05701497569680214,0.8870370388031006,0.6228100061416626
17,0.9833179116249084,0.05123263970017433,0.8870370388031006,0.6397410035133362
18,0.9737411141395569,0.0758797749876976,0.8611111044883728,0.7296843528747559
19,0.9706518650054932,0.08866444230079651,0.894444465637207,0.5638048648834229
