epoch,train_loss,val_loss
1,0.9627427841212449,0.5467628289152074
2,0.6284697982202093,0.48882167560082895
3,0.6285730804010862,0.4086308909787072
4,0.6280810367851152,0.47553750806384615
5,0.5839906730952364,0.43095717518417925
6,0.5793662053366889,0.46131658443698176
7,0.5377855052320465,0.4340914739502801
8,0.5169002863914833,0.45239841915943
9,0.5172561452386554,0.3870675526283405
10,0.5403027364343709,0.43319427304797703
11,0.5362384434942482,0.3963454032385791
12,0.5016840331378379,0.3906733923488193
13,0.4956682844223857,0.4633607074066445
14,0.4871181857081376,0.3814613863273903
15,0.5043843425568659,0.454640480544832
16,0.4726571840086505,0.3859963955702605
17,0.47443085246002153,0.39273933900727165
18,0.5040153630139984,0.38664880615693553
19,0.4946792393803118,0.39822522158975954
20,0.4589529226214421,0.43244030387313276
