epoch,train_loss,val_loss
1,0.6612413867520889,0.3011767402843193
2,0.3377247686864124,0.338208599002273
3,0.28409863394334944,0.34739919740844655
4,0.24135111775485166,0.285408298947193
5,0.21562269388487723,0.2891131360221792
6,0.18090528262630082,0.26557278710382953
7,0.1734391733161601,0.294445646085121
8,0.14273553584916082,0.33576259519214985
9,0.14493443681790869,0.3633457286490334
10,0.14712699094961593,0.2993242702826306
11,0.12838882639207772,0.29626453717549645
12,0.12285267752024139,0.279929833776421
13,0.08385237052940019,0.34364048272923187
14,0.11022919074913898,0.3260103933237217
15,0.0923029397612448,0.353896079402141
16,0.08117497230917077,0.35042803451694826
17,0.08315204160220652,0.36495793322101233
18,0.0946106901280133,0.3588630285527971
19,0.08703683778887587,0.3446598636607329
20,0.09182357350303907,0.332107117385776
