epoch,train_loss,val_loss
1,0.6747383803433019,0.3790531350506677
2,0.4005642006490788,0.40625775754451754
3,0.31651883648065715,0.4157603253920873
4,0.27794364701460494,0.41790240738126966
5,0.2318247866494294,0.43635071096596895
6,0.2146605376268118,0.3777662701628826
7,0.1767242017869858,0.419867448343171
8,0.17117704621639596,0.46617090028745156
9,0.1484516803422643,0.43821948152725343
10,0.1523499063697779,0.43822198664700546
11,0.1337570144444161,0.46777140222213887
12,0.12310516862095135,0.5077511414333626
13,0.13000188148754557,0.4723274344371425
14,0.13372701605345166,0.5126497699016774
15,0.09819880157670569,0.5405393477943209
16,0.08950763159328803,0.550557917687628
17,0.08948546251645188,0.46908444475244593
18,0.09466733384981307,0.5452998553713163
19,0.07045377216324587,0.5621580796109306
20,0.09977119581202482,0.6111022025346756
