epoch,accuracy,loss,val_accuracy,val_loss
0,0.818659245967865,0.5255150198936462,0.885185182094574,0.316746324300766
1,0.8962001800537109,0.28090259432792664,0.9027777910232544,0.29391178488731384
2,0.9150447845458984,0.23065543174743652,0.9083333611488342,0.30112147331237793
3,0.9267840385437012,0.19421175122261047,0.8999999761581421,0.31352800130844116
4,0.9564411640167236,0.12653836607933044,0.904629647731781,0.2987162172794342
5,0.9561322331428528,0.12353404611349106,0.9018518328666687,0.3518848717212677
6,0.966944694519043,0.0895499736070633,0.9111111164093018,0.307443767786026
7,0.964782178401947,0.0911894366145134,0.9027777910232544,0.4118214249610901
8,0.9691072106361389,0.08408378064632416,0.9111111164093018,0.3649314045906067
9,0.9762125611305237,0.07212374359369278,0.914814829826355,0.37511274218559265
10,0.9789928793907166,0.06288070231676102,0.9129629731178284,0.42213669419288635
11,0.9789928793907166,0.0642637088894844,0.8907407522201538,0.45646652579307556
12,0.9802286028862,0.05723042041063309,0.9064815044403076,0.4271770119667053
13,0.9839357137680054,0.046539537608623505,0.9074074029922485,0.4413200914859772
14,0.975594699382782,0.061614472419023514,0.9009259343147278,0.420291930437088
15,0.9802286028862,0.060826376080513,0.9101851582527161,0.42028284072875977
16,0.9854803681373596,0.042924657464027405,0.8916666507720947,0.5394639372825623
17,0.9786839485168457,0.053522542119026184,0.9111111164093018,0.43096211552619934
18,0.9860982298851013,0.044922370463609695,0.9111111164093018,0.538977861404419
19,0.986716091632843,0.044427234679460526,0.9009259343147278,0.4698832631111145
