epoch,accuracy,loss,val_accuracy,val_loss
0,0.767686128616333,0.6377515196800232,0.8759258985519409,0.38080281019210815
1,0.8566573858261108,0.3847511410713196,0.8814814686775208,0.364016056060791
2,0.8724127411842346,0.34596696496009827,0.8898147940635681,0.3376118242740631
3,0.8903305530548096,0.2937866747379303,0.8629629611968994,0.41792887449264526
4,0.8924930691719055,0.28814318776130676,0.8861111402511597,0.36014485359191895
5,0.9088662266731262,0.24961619079113007,0.8962963223457336,0.31858691573143005
6,0.9184430241584778,0.21761496365070343,0.8611111044883728,0.42975330352783203
7,0.9236947894096375,0.21712562441825867,0.8999999761581421,0.3099224865436554
8,0.9345072507858276,0.17750701308250427,0.8879629373550415,0.33789825439453125
9,0.922459065914154,0.21027937531471252,0.8861111402511597,0.3869292736053467
10,0.9372876286506653,0.17792367935180664,0.9129629731178284,0.302436888217926
11,0.9434661865234375,0.1535739153623581,0.8870370388031006,0.38422736525535583
12,0.9419215321540833,0.15767283737659454,0.9064815044403076,0.35179775953292847
13,0.9462465047836304,0.14707055687904358,0.8981481194496155,0.3847368359565735
14,0.9453197121620178,0.1481608748435974,0.9037036895751953,0.3313441574573517
15,0.9416126012802124,0.1525590568780899,0.9231481552124023,0.3100244998931885
16,0.9499536752700806,0.13083210587501526,0.8925926089286804,0.40357092022895813
17,0.9471732974052429,0.13613121211528778,0.9111111164093018,0.337234228849411
18,0.9635465145111084,0.11443931609392166,0.894444465637207,0.3960753083229065
19,0.9505715370178223,0.13531047105789185,0.9083333611488342,0.3607600927352905
